"LOCATION","Country","VARIABLE","Variable","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","PDTY","Labour productivity, total economy","Q","Quarterly","1964-Q1","Q1-1964","IDX","Index","0","Units","2015","2015",0.464954224682907,,
"AUS","Australia","PDTY","Labour productivity, total economy","Q","Quarterly","1964-Q2","Q2-1964","IDX","Index","0","Units","2015","2015",0.47435916730222,,
"AUS","Australia","PDTY","Labour productivity, total economy","Q","Quarterly","1964-Q3","Q3-1964","IDX","Index","0","Units","2015","2015",0.475282818262855,,
"AUS","Australia","PDTY","Labour productivity, total economy","Q","Quarterly","1964-Q4","Q4-1964","IDX","Index","0","Units","2015","2015",0.484483793653605,,
"AUS","Australia","PDTY","Labour productivity, total economy","Q","Quarterly","1965-Q1","Q1-1965","IDX","Index","0","Units","2015","2015",0.47174747447286,,
"AUS","Australia","PDTY","Labour productivity, total economy","Q","Quarterly","1965-Q2","Q2-1965","IDX","Index","0","Units","2015","2015",0.4756441983011,,
"AUS","Australia","PDTY","Labour productivity, total economy","Q","Quarterly","1965-Q3","Q3-1965","IDX","Index","0","Units","2015","2015",0.471702233827036,,
"AUS","Australia","PDTY","Labour productivity, total economy","Q","Quarterly","1965-Q4","Q4-1965","IDX","Index","0","Units","2015","2015",0.469654487093016,,
"AUS","Australia","PDTY","Labour productivity, total economy","Q","Quarterly","1966-Q1","Q1-1966","IDX","Index","0","Units","2015","2015",0.470021929984332,,
"AUS","Australia","PDTY","Labour productivity, total economy","Q","Quarterly","1966-Q2","Q2-1966","IDX","Index","0","Units","2015","2015",0.473756256865953,,
"AUS","Australia","PDTY","Labour productivity, total economy","Q","Quarterly","1966-Q3","Q3-1966","IDX","Index","0","Units","2015","2015",0.483224101925424,,
"AUS","Australia","PDTY","Labour productivity, total economy","Q","Quarterly","1966-Q4","Q4-1966","IDX","Index","0","Units","2015","2015",0.484208981032944,,
"AUS","Australia","PDTY","Labour productivity, total economy","Q","Quarterly","1967-Q1","Q1-1967","IDX","Index","0","Units","2015","2015",0.498780167302917,,
"AUS","Australia","PDTY","Labour productivity, total economy","Q","Quarterly","1967-Q2","Q2-1967","IDX","Index","0","Units","2015","2015",0.495549163927692,,
"AUS","Australia","PDTY","Labour productivity, total economy","Q","Quarterly","1967-Q3","Q3-1967","IDX","Index","0","Units","2015","2015",0.501544927896117,,
